CODE,en_US,zh_Hans,zh_TW,es_ES,hu_HU,ja_JP
_L_ON,ON,开,開,SI,BE,ON
_L_OFF,OFF,关,關,NO,KI,OFF
_L_ON_F,[ON],[开],[開],[SI],[BE],[ON]
_L_OFF_F,[OFF],[关],[關],[NO],[KI],[OFF]
_L_BACK,Back,返回,返回,[Atrás],Vissza,もどる
_L_ERR,Error,错误,錯誤,Error,Hiba,エラー
_L_ERR_CODE,Error Code,错误码,錯誤碼,Código error,Hibakód,エラーコード
_L_APP_AMIIBO,Amiibo Emulator,Amiibo模拟器,Amiibo模擬器,Emulador de amiibo,Amiibo Emulátor,Amiiboｴﾐｭﾚｰﾀ
_L_APP_AMIIBOLINK,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink,AmiiboLink
_L_APP_BLE,BLE File Transfer,蓝牙传输,藍牙傳送,Transferencia BLE,BLE Fájltovábbítás,BLE ファイル転送
_L_APP_BLE_TITLE,BLE File Transfer,蓝牙传输,藍牙傳送,Transferencia BLE,BLE Fájltovábbítás,BLE ファイル転送
_L_APP_PLAYER,Video Player,动画播放器,動畫播放器,Reproductor vídeo,Video Lejátszó,動画プレーヤー
_L_APP_SET,Settings,系统设置,系統設定,Configuraciones,Beállítások,本体設定
_L_APP_SET_VERSION,Version,版本,版本,Versión,Verzió,バージョン
_L_APP_SET_STORAGE_USED,Used,已用,已用,Usado,Használt,使用率
_L_APP_SET_STORAGE,External Storage,外置存储,外置存儲,M. Flash,Külső Tároló,外部ストレージ
_L_APP_SET_OLED_CONTRAST,OLED Contrast,OLED对比度,OLED對比度,Contraste OLED,OLED Kontraszt,有機ELコントラスト比
_L_APP_SET_OLED_CONTRAST_TITLE,OLED Contrast,OLED对比度,OLED對比度,Contraste OLED,OLED Kontraszt,有機ELコントラスト比
_L_APP_SET_LCD_BACKLIGHT,Backlight,背光亮度,背光亮度,Brillo,Háttérvilágítás,バックライト
_L_APP_SET_LCD_BACKLIGHT_TITLE,Backlight Brightness,背光亮度,背光亮度,Brillo de fondo,Háttérvilágítás Fényerő,バックライト
_L_APP_SET_ANIM,Menu Animation,动画效果,動畫效果,Animar menú,Menü Animáció,アニメーション効果
_L_APP_SET_LIPO_BAT,LiPO Battery,LiPO电池,LiPO電池,Batería LiPO,LiPO Akkumulátor,リポバッテリー
_L_APP_SET_SHOW_MEM_USAGE,Memory Used,内存使用率,記憶體使用率,Mem. usada,Használt Memória,メモリ使用率
_L_APP_SET_HIBERNATE,Fast Wakeup,快速唤醒,快速喚醒,Hibernar,Gyors Ébresztés,ファストレジューム
_L_APP_SET_SLEEP_TIMEOUT,Sleep Timeout,休眠时间,休眠時間,Dormir en:,Alvási Időkorlát,スリープ時間
_L_APP_SET_LANGUAGE,Language,系统语言,系統語言,Idioma,Nyelv,言語
_L_APP_SET_DFU,Firmware Update,固件更新,軟體升級,Actualizar firmware,Firmware Frissítés,本体の更新
_L_APP_SET_REBOOT,System Reboot,重启设备,重啟設備,Reiniciar,Rendszer Újraindítása,システム再起動
_L_APP_SET_RESET_DEFAULT,Reset Default Setting,重置默认配置,重置默認配置,Restablecer config.,Alapért. Beállítások Visszaállítása,設定初期化
_L_APP_SET_RESET_DEFAULT_SUCCESS,Reset Success!,重置成功,重置成功,¡Configuración Restablecida!,Sikeres Visszaállítása!,初期化完了
_L_15S,15 Seconds,15秒,15秒,15 segundos,15 sec,15秒
_L_30S,30 Seconds,30秒,30秒,30 segundos,30 sec,30秒
_L_45S,45 Seconds,45秒,45秒,45 segundos,45 sec,45秒
_L_1MIN,1 Minute,1分钟,1分鐘,1 minuto,1 min,1分
_L_2MIN,2 Minutes,2分钟,2分鐘,2 minutos,2 min,2分
_L_3MIN,3 Minutes,3分钟,3分鐘,3 minutos,3 min,3分
_L_AMIIBO_KEY_UNLOADED,Amiibo Key not loaded,Amiibo Key未加载,Amiibo Key未載入,Sin llave amiibo,Amiibo kulcs nincs betöltve,Amiiboキーが読み込まれません
_L_UPLOAD_KEY_RETAIL_BIN,Upload the file key_retail.bin to the root directory of the storage.,上传文件 key_retail.bin\n到存储根目录下。,上傳檔案 key_retail.bin\n到儲存根目錄下。,Suba el archivo\nkey_retail.bin\nal directorio raíz.,Töltse fel a\nkey_retail.bin\nfájlt a gyökérkönyvtárába.,key_retail.binファイルを\nストレージのルートフォルダ\nにアップロードします。
_L_KNOW,Got it,知道了,知道了,Entendido,Megvan,OK
_L_RANDOM_GENERATION,Rand. Tag,随机生成,隨機產生,Nuevo serial aleat.,Véletlengenerátor,ランダム作成
_L_AUTO_RANDOM_GENERATION,Auto Rand.,自动随机生成,自動隨機產生,Serial alea. aut,Automat. Véletlengenerátor,自動ランダム作成
_L_SHOW_QRCODE,Display QR Code,显示二维码,顯示二維碼,Mostrar QR,QR-kód Megjelenítése,QRコードを表示
_L_DELETE_TAG,Delete Tag,删除标签,刪除標籤,Borrar amiibo..,Címke Törlése,タグの削除
_L_DELETE_TAG_CONFIRM,Confirm Delete %s ?,确认删除 %s ?,確認刪除 %s ?,¿\nBorrar %s\n?,Törlés Megerősítése?,%s を削除しますか?
_L_BACK_TO_DETAILS,Back to Tag Details,返回详情,返回詳情,[Detalles amiibo],Vissza a Címke Részletkhez,タグの詳細にもどる
_L_BACK_TO_FILE_LIST,Back to File List,返回文件列表,返回檔案清單,[Lista Archivos],Vissza a Fájl Listához,ファイルリストにもどる
_L_BACK_TO_MAIN_MENU,Back to Main Menu,返回主菜单,返回主選單,[Menú Principal],Vissza a Főmenübe,メインメニューにもどる
